Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
71526,1527.30,19600501,female,0,2-HH
95719049,2187.10,19611201,female,0,2-HH
9044,3290.33,19640301,male,0,2-HH
256169108,3214.89,19660101,female,0,2-HH
419598726,4240.94,19600101,male,0,2-HH
28248,2653.05,19770401,female,0,2-HH
85486,2739.54,19460701,female,0,2-HH
15165270,4506.29,19500601,female,0,2-HH
96967361,4532.89,19421201,female,0,1 -HH (female)
1342,#NULL!,19791101,male,0,4-HH
86665,#NULL!,19681101,male,0,2-HH
8035,7459.00,19470901,female,0,2-HH
74315880,#NULL!,19491001,female,0,2-HH
6170232,#NULL!,19760101,male,0,3-HH
653722809,4240.94,19441101,male,0,2-HH
398222551,1896.40,19810401,female,0,1 -HH (female)
230081985,5314.31,19420401,male,0,2-HH
80884,5735.87,19700101,female,0,2-HH
3376650,9332.42,19770201,male,0,3-HH
20595773,3953.85,19480101,female,0,2-HH
82763645,4506.29,19510701,female,0,2-HH
42145904,3804.33,19390601,female,0,2-HH
666516725,6655.85,19630701,male,0,3-HH
2763312,4035.54,19760301,male,0,2-HH
19834739,4230.08,19590701,male,0,2-HH
827662237,1976.09,19710201,male,0,1-HH (male)
4300328,3542.77,19410501,female,0,2-HH
895628,#NULL!,19650901,female,0,2-HH
1102379,2990.33,19520901,female,0,2-HH
484436428,7746.09,19560401,male,0,2-HH
443627,4509.54,19751101,female,0,2-HH
83697644,4793.38,19390201,male,0,2-HH
364191,2555.09,19640601,female,0,2-HH
785459,6915.07,19690901,male,0,2-HH
629184,3542.77,19430901,female,0,2-HH
9686473,4398.44,19561001,female,0,1 -HH (female)
59201,#NULL!,19490201,male,0,1-HH (male)
74369442,4551.63,19820701,male,0,2-HH
5087,3214.89,19680501,female,0,2-HH
92630103,3267.22,19690201,male,0,2-HH
825954,2870.99,19630201,male,0,2-HH
551209,4508.43,19760401,male,0,4-HH
847064157,2412.49,19750501,female,0,1 -HH (female)
76276,718.05,19770501,female,0,5-HH
7707,4285.99,19491201,male,0,1-HH (male)
5325161,1252.69,19590201,female,0,1 -HH (female)
76086,5171.50,19680301,female,0,3-HH
42414771,9139.40,19590101,male,0,3-HH
57480047,3686.63,19391001,female,0,2-HH
45295763,2990.33,19500801,female,0,2-HH
520160,6345.25,19750801,male,0,4-HH
23522,5032.45,19431201,female,0,2-HH
7522240,6763.45,19481101,male,0,2-HH
32033,4506.29,19470201,female,0,2-HH
949438,4658.60,19511201,male,0,4-HH
626517,3379.56,19760801,female,0,4-HH
10509677,#NULL!,19770701,male,0,2-HH
658580039,718.05,19781001,female,0,3-HH
3617885,718.05,19820601,male,0,3-HH
774136792,#NULL!,19831101,male,0,2-HH
79522528,4956.97,19790601,female,0,2-HH
983604,#NULL!,19550401,female,0,1 -HH (female)
5408001,3239.78,19800601,male,2 Children,4-HH
2346704,5381.67,19830601,female,0,2-HH
5025,4119.23,19910401,male,0,2-HH
8830,1040.57,19770801,female,0,1 -HH (female)
1706,6345.25,19770601,male,0,3-HH
548800,6687.61,19801201,male,0,3-HH
917384,2756.42,19640401,female,0,1 -HH (female)
31621,2911.74,19571201,male,0,1-HH (male)
5586315,8267.02,19511101,male,0,2-HH
156825921,3953.85,19500701,female,0,2-HH
960121,5370.82,19710401,female,0,4-HH
4080217,1065.24,19641001,female,0,1 -HH (female)
5812,9759.89,19741101,female,0,3-HH
1070,5033.29,19740601,male,0,4-HH
99969,2366.51,19580101,male,0,2-HH
5445,1216.45,19600301,female,0,2-HH
6848,#NULL!,19710801,female,0,1 -HH (female)
538791,5352.93,19710301,female,0,1 -HH (female)
856540,9686.06,19730901,female,0,1 -HH (female)
17629,3558.41,19751101,male,0,5-HH
2573,3129.88,19760201,male,0,2-HH
3918,3267.22,19720901,male,0,2-HH
42851,2158.00,19730401,male,0,1-HH (male)
72532,6919.00,19730401,female,0,4-HH
41856950,2140.58,19720501,female,0,1 -HH (female)
9575,#NULL!,19700301,female,0,1 -HH (female)
9733420,2799.05,19670501,male,0,2-HH
536976,4960.51,19590301,female,0,2-HH
65090684,4512.37,19680601,female,0,3-HH
8272572,4690.93,19721101,male,0,3-HH
8300066,1893.34,19671101,male,0,1-HH (male)
387742,4554.20,19720301,male,0,4-HH
388372687,3723.49,19690901,female,0,6-HH
43379946,26361.47,20030301,female,0,6-HH
5592882,3290.33,19690801,male,0,2-HH
745181,7258.97,19690501,female,0,2-HH
65408165,4688.98,19700601,male,0,2-HH
59006,6194.84,19540301,female,0,3-HH
4067811,4690.93,19780201,male,0,3-HH
325419,5490.64,19530301,male,0,2-HH
7298144,2905.69,19490701,female,0,2-HH
2249,#NULL!,19660201,male,0,4-HH
138,#NULL!,19630801,male,0,2-HH
85417,7182.79,19591101,male,0,2-HH
736776355,2808.49,19630901,male,0,2-HH
7877766,1187.52,19620101,male,0,1-HH (male)
31182296,3677.64,19570401,male,0,2-HH
28208,3118.94,19770101,male,0,1-HH (male)
9356902,1814.07,19610401,male,0,2-HH
59469,2363.40,19610701,male,0,1-HH (male)
89258,2930.96,19561001,male,0,2-HH
15156,#NULL!,19711101,male,0,1-HH (male)
72072,6345.25,19740901,male,0,3-HH
707357991,5203.79,19640601,male,0,3-HH
8829,#NULL!,19620701,male,0,2-HH
87368,#NULL!,19530801,male,0,2-HH
94926281,3290.33,19660601,male,0,2-HH
66779311,1815.64,19750901,male,0,1-HH (male)
266664,7182.79,19490901,male,0,2-HH
273332543,5033.29,19751101,male,1 child,3-HH
9316,4535.48,19680301,female,1 child,3-HH
600148767,#NULL!,19390301,female,0,1 -HH (female)
9833590,1578.65,19570901,female,0,2-HH
6296446,3677.64,19620501,male,0,2-HH
3881189,718.05,19510401,female,0,2-HH
74834160,1814.07,19500901,male,0,2-HH
279702468,893.28,19450501,female,0,1 -HH (female)
75397,1270.62,19700501,female,0,3-HH
12694,2990.33,19540401,female,0,2-HH
54745523,3507.69,19620601,female,0,3-HH
3245159,2057.39,19560301,male,0,1-HH (male)
25663524,893.28,19540901,female,0,1 -HH (female)
9965,7897.71,19690501,male,0,2-HH
1828811,8062.20,19630401,female,0,2-HH
584952,#NULL!,19560901,male,0,2-HH
592517261,1814.07,19560801,male,0,2-HH
647214856,1739.96,19580801,male,0,1-HH (male)
187920,5868.55,19470101,male,0,1-HH (male)
5572,1180.75,19510901,female,0,1 -HH (female)
97921,5246.94,19691001,male,0,3-HH
30194,7522.96,19601101,male,0,1-HH (male)
5043023,7459.00,19480301,female,0,2-HH
967165214,8267.02,19511201,male,0,2-HH
6428171,4535.48,19651001,female,0,3-HH
21419,3070.72,19540101,male,0,1-HH (male)
5312422,1134.41,19590801,female,0,2-HH
8767819,2185.43,19651001,female,0,1 -HH (female)
40005,1668.69,19651001,female,0,2-HH
6217,#NULL!,19530301,male,0,2-HH
97752515,2260.27,19680601,male,0,2-HH
8526,1216.45,19540301,female,0,2-HH
12621,#NULL!,19540601,male,0,2-HH
635007703,3995.02,19661101,female,0,2-HH
8359272,3830.53,19710901,male,0,2-HH
5822,1812.70,19730701,male,0,2-HH
96755,2144.19,19710301,female,0,1 -HH (female)
1115375,5177.17,19610801,male,0,2-HH
1246948,3995.02,19680701,female,0,2-HH
8471117,1215.66,19810101,female,1 child,5-HH
1955658,1893.34,19630201,male,0,1-HH (male)
634636618,5246.94,19660701,male,0,3-HH
8945252,3290.33,19660101,male,0,2-HH
174011805,#NULL!,19580901,male,0,1-HH (male)
9852,3733.55,19560101,male,0,1-HH (male)
637470296,2870.99,19630101,male,0,2-HH
642531,3070.72,19581001,male,0,1-HH (male)
53664,1762.83,19591001,female,0,2-HH
77494,8121.38,19700301,female,0,4-HH
408369,6860.87,19790101,male,0,4-HH
28439,4761.87,19540601,male,0,2-HH
3870,4018.12,19661101,female,0,2-HH
3225873,6919.00,19750601,female,0,4-HH
280,#NULL!,19480401,male,0,2-HH
16576207,8496.37,19851201,female,0,3-HH
760928321,#NULL!,19720501,male,0,1-HH (male)
24687,#NULL!,19620601,female,0,1 -HH (female)
3998505,#NULL!,19490601,male,0,2-HH
